# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
181.00000000,BACKGROUND1,SURVEILLANCE_LUFTHANSA,start
201.00000000,BACKGROUND1,SURVEILLANCE_LUFTHANSA,end
227.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
241.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
361.00000000,BACKGROUND5,SURVEILLANCE_EUROWINGS,start
377.00000000,BACKGROUND5,SURVEILLANCE_EUROWINGS,end
583.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
585.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
603.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,start
607.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,end
1001.00000000,BACKGROUND10,BACKGROUND12,start
1002.00000000,BACKGROUND10,BACKGROUND12,end
1005.00000000,BACKGROUND10,BACKGROUND12,start
1007.00000000,BACKGROUND10,BACKGROUND12,end
